lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0078	1101.0	853.0	2240.0	1534.0	416.0	3531.0	4743.0	3924.0	1220.0	5753.0	2813.0	3001.0	1812.0	3937.0	698.0	1328.0	1858.0	807.0	1838.0	1236.0	4767.0	1513.0	4509.0	4679.0	1043.0	7018.0	7753.0	5928.0	4628.0	5008.0	294.0	500.0	424.0	3144.0	95850.4	1280371.0	1371254.112672
sub-0079	1009.0	630.0	2320.0	1309.0	520.0	3367.0	4802.0	3544.0	696.0	5391.0	2891.0	2996.0	1903.0	3313.0	784.0	1612.0	1541.0	720.0	1376.0	1220.0	3934.0	1365.0	5274.0	3593.0	895.0	7229.0	8324.0	5548.0	4510.0	4118.0	293.0	489.0	502.0	2563.0	90577.3	1172908.0	1637643.055556
sub-0080	542.0	491.0	1748.0	1582.0	515.0	2912.0	3794.0	3276.0	1082.0	5274.0	2443.0	3317.0	1536.0	2745.0	675.0	1342.0	1666.0	669.0	1615.0	1565.0	3280.0	1044.0	4097.0	3985.0	681.0	4365.0	6602.0	5039.0	3642.0	3578.0	270.0	480.0	453.0	2042.0	78346.8	1069233.0	1021638.247173
sub-0081	1187.0	937.0	2959.0	1551.0	397.0	3325.0	6000.0	3935.0	1177.0	5717.0	3001.0	3016.0	2434.0	3414.0	632.0	1558.0	1816.0	819.0	1365.0	1185.0	4658.0	1472.0	5562.0	4382.0	1079.0	7499.0	8806.0	6729.0	4272.0	4721.0	286.0	497.0	553.0	2203.0	98875.6	1291807.0	1710182.396507
sub-0082	1143.0	567.0	2178.0	1400.0	426.0	2845.0	3969.0	3113.0	856.0	4867.0	2496.0	2663.0	1879.0	2995.0	580.0	1511.0	1763.0	733.0	1390.0	1101.0	3770.0	1201.0	4774.0	3821.0	648.0	5708.0	7734.0	5431.0	3763.0	3782.0	300.0	450.0	440.0	2059.0	82354.4	1106903.0	1148265.338819
sub-0083	931.0	526.0	2189.0	1441.0	561.0	3219.0	4470.0	2997.0	1173.0	4748.0	2943.0	3316.0	2197.0	2868.0	711.0	1454.0	1676.0	693.0	1185.0	1422.0	4325.0	1003.0	4512.0	4623.0	911.0	6579.0	7544.0	6671.0	3697.0	4353.0	270.0	523.0	424.0	2365.0	88504.9	1140331.0	1661525.000806
sub-0084	979.0	462.0	2648.0	1462.0	478.0	3067.0	3783.0	3259.0	977.0	4366.0	2638.0	3051.0	1811.0	3200.0	660.0	1404.0	1793.0	721.0	1361.0	1454.0	3718.0	1004.0	4859.0	3767.0	615.0	6600.0	7342.0	5639.0	3884.0	4141.0	244.0	461.0	485.0	2119.0	84450.3	1093990.0	1164053.056737
sub-0085	791.0	466.0	1845.0	1546.0	320.0	2607.0	4052.0	2702.0	785.0	5734.0	2019.0	2965.0	1420.0	2514.0	583.0	1179.0	1410.0	627.0	1196.0	1199.0	3615.0	859.0	4880.0	3516.0	655.0	4551.0	6282.0	5740.0	3466.0	3267.0	234.0	440.0	462.0	2232.0	76153.0	985381.0	1083882.108839
sub-0086	852.0	865.0	2884.0	1857.0	384.0	3681.0	5286.0	4559.0	1141.0	6663.0	3362.0	3397.0	2267.0	4206.0	705.0	1492.0	1722.0	906.0	1505.0	1446.0	4824.0	1409.0	5956.0	4680.0	1158.0	7288.0	9022.0	6982.0	5277.0	6259.0	301.0	493.0	561.0	2856.0	106121.0	1427692.0	1704665.753909
sub-0087	1061.0	789.0	1592.0	1394.0	420.0	2650.0	4671.0	2958.0	953.0	4558.0	2649.0	2605.0	1949.0	3073.0	730.0	1327.0	1402.0	915.0	1587.0	1195.0	3416.0	1341.0	4066.0	3474.0	940.0	5451.0	7314.0	5097.0	3964.0	3766.0	298.0	497.0	462.0	2570.0	81130.0	1138450.0	1481056.243554
